股票代码,股票简称,公告ID,公告标题,公告时间,时间戳,PDF链接,PDF大小(KB),板块,公告类型代码,orgId
601398,工商银行,1204526744,2017年年度报告摘要,2018-03-28,1522166400000,https://static.cninfo.com.cn/finalpage/2018-03-28/1204526744.PDF,879,SHZB,01010501||010113||01030110,jjxt0000019
601398,工商银行,1204526743,2017年年度报告,2018-03-28,1522166400000,https://static.cninfo.com.cn/finalpage/2018-03-28/1204526743.PDF,4228,SHZB,01010503||010113||01030101,jjxt0000019
601398,工商银行,1203239611,2016年年度报告,2017-03-31,1490889600000,https://static.cninfo.com.cn/finalpage/2017-03-31/1203239611.PDF,3550,SHZB,01010503||010113||01030101,jjxt0000019
601398,工商银行,1203239608,2016年年度报告摘要,2017-03-31,1490889600000,https://static.cninfo.com.cn/finalpage/2017-03-31/1203239608.PDF,904,SHZB,01010503||010113||01030110,jjxt0000019
601398,工商银行,1202231398,H股-2015年度报告,2016-04-23,1461340800000,https://static.cninfo.com.cn/finalpage/2016-04-23/1202231398.PDF,7165,SHZB,01010501||010113||01030101,jjxt0000019
601398,工商银行,1202114789,2015年年度报告,2016-03-31,1459353600000,https://static.cninfo.com.cn/finalpage/2016-03-31/1202114789.PDF,2409,SHZB,01010501||010113||01030101,jjxt0000019
601398,工商银行,1202114777,2015年年度报告摘要,2016-03-31,1459353600000,https://static.cninfo.com.cn/finalpage/2016-03-31/1202114777.PDF,881,SHZB,01010501||010113||01030110,jjxt0000019
601398,工商银行,1200749694,2014年年度报告,2015-03-27,1427385600000,https://static.cninfo.com.cn/finalpage/2015-03-27/1200749694.PDF,3727,SHZB,01010501||010113||01030101,jjxt0000019
601398,工商银行,1200749690,2014年年度报告摘要,2015-03-27,1427385600000,https://static.cninfo.com.cn/finalpage/2015-03-27/1200749690.PDF,899,SHZB,01010501||010113||01030110,jjxt0000019
601398,工商银行,63741524,2013年年度报告,2014-03-28,1395936000000,https://static.cninfo.com.cn/finalpage/2014-03-28/63741524.PDF,3598,SHZB,01010501||010113||01030101,jjxt0000019
601398,工商银行,63741520,2013年年度报告摘要,2014-03-28,1395936000000,https://static.cninfo.com.cn/finalpage/2014-03-28/63741520.PDF,851,SHZB,01010501||010113||01030110,jjxt0000019
601318,中国平安,1225038326,中国平安2025年年度报告摘要,2026-03-27,1774540800000,https://static.cninfo.com.cn/finalpage/2026-03-27/1225038326.PDF,728,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1225038263,中国平安2025年年度报告,2026-03-27,1774540800000,https://static.cninfo.com.cn/finalpage/2026-03-27/1225038263.PDF,9276,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1225023541,中国平安：平安银行股份有限公司2025年年度报告摘要,2026-03-21,1774022400000,https://static.cninfo.com.cn/finalpage/2026-03-21/1225023541.PDF,634,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1222847467,中国平安2024年年度报告摘要,2025-03-20,1742400000000,https://static.cninfo.com.cn/finalpage/2025-03-20/1222847467.PDF,576,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1222847447,中国平安2024年年度报告,2025-03-20,1742400000000,https://static.cninfo.com.cn/finalpage/2025-03-20/1222847447.PDF,11273,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1222807195,中国平安：平安银行股份有限公司2024年年度报告摘要,2025-03-15,1741968000000,https://static.cninfo.com.cn/finalpage/2025-03-15/1222807195.PDF,909,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1219376077,中国平安2023年年度报告摘要,2024-03-22,1711036800000,https://static.cninfo.com.cn/finalpage/2024-03-22/1219376077.PDF,640,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1219376072,中国平安2023年年度报告,2024-03-22,1711036800000,https://static.cninfo.com.cn/finalpage/2024-03-22/1219376072.PDF,7057,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1219307141,中国平安：平安银行股份有限公司2023年年度报告摘要,2024-03-15,1710432000000,https://static.cninfo.com.cn/finalpage/2024-03-15/1219307141.PDF,1386,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1216129509,中国平安2022年年度报告摘要,2023-03-16,1678896000000,https://static.cninfo.com.cn/finalpage/2023-03-16/1216129509.PDF,780,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1216129433,中国平安2022年年度报告,2023-03-16,1678896000000,https://static.cninfo.com.cn/finalpage/2023-03-16/1216129433.PDF,8089,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1216074525,平安银行股份有限公司2022年年度报告摘要,2023-03-09,1678291200000,https://static.cninfo.com.cn/finalpage/2023-03-09/1216074525.PDF,878,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1212609975,中国平安2021年年度报告,2022-03-18,1647532800000,https://static.cninfo.com.cn/finalpage/2022-03-18/1212609975.PDF,7518,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1212609968,中国平安2021年年度报告摘要,2022-03-18,1647532800000,https://static.cninfo.com.cn/finalpage/2022-03-18/1212609968.PDF,826,SHZB,01010503||010113||010301,9900002221
601318,中国平安,1209239168,中国平安2020年年度报告,2021-02-04,1612368000000,https://static.cninfo.com.cn/finalpage/2021-02-04/1209239168.PDF,7797,SHZB,010113||01010503||01030101,9900002221
601318,中国平安,1209239167,中国平安2020年年度报告摘要,2021-02-04,1612368000000,https://static.cninfo.com.cn/finalpage/2021-02-04/1209239167.PDF,1002,SHZB,010113||01010503||01030110,9900002221
601318,中国平安,1209224640,平安银行股份有限公司2020年年度报告摘要,2021-02-02,1612195200000,https://static.cninfo.com.cn/finalpage/2021-02-02/1209224640.PDF,2214,SHZB,010113||01010503||01030110,9900002221
601318,中国平安,1207316215,2019年年度报告摘要,2020-02-21,1582214400000,https://static.cninfo.com.cn/finalpage/2020-02-21/1207316215.PDF,659,SHZB,010113||01030110||01010501,9900002221
601318,中国平安,1207316204,2019年年度报告,2020-02-21,1582214400000,https://static.cninfo.com.cn/finalpage/2020-02-21/1207316204.PDF,8670,SHZB,010113||01030101||01010501,9900002221
601318,中国平安,1207305534,平安银行股份有限公司2019年年度报告摘要,2020-02-14,1581609600000,https://static.cninfo.com.cn/finalpage/2020-02-14/1207305534.PDF,882,SHZB,01010503||010113||01030110,9900002221
601318,中国平安,1205895402,2018年年度报告,2019-03-13,1552406400000,https://static.cninfo.com.cn/finalpage/2019-03-13/1205895402.PDF,7536,SHZB,01010501||010113||01030101,9900002221
601318,中国平安,1205895394,2018年年度报告摘要,2019-03-13,1552406400000,https://static.cninfo.com.cn/finalpage/2019-03-13/1205895394.PDF,636,SHZB,01010501||010113||01030110,9900002221
601318,中国平安,1205881384,平安银行股份有限公司2018年年度报告摘要,2019-03-07,1551888000000,https://static.cninfo.com.cn/finalpage/2019-03-07/1205881384.PDF,913,SHZB,01010503||010113||01030110,9900002221
601318,中国平安,1204495862,2017年年度报告,2018-03-21,1521561600000,https://static.cninfo.com.cn/finalpage/2018-03-21/1204495862.PDF,4423,SHZB,01010503||010113||01030101,9900002221
601318,中国平安,1204495850,2017年年度报告摘要,2018-03-21,1521561600000,https://static.cninfo.com.cn/finalpage/2018-03-21/1204495850.PDF,535,SHZB,01010503||010113||01030110,9900002221
601318,中国平安,1204477642,平安银行股份有限公司2017年年度报告摘要,2018-03-15,1521043200000,https://static.cninfo.com.cn/finalpage/2018-03-15/1204477642.PDF,1046,SHZB,01010503||010113||01030110,9900002221
601318,中国平安,1203187978,2016年年度报告,2017-03-23,1490198400000,https://static.cninfo.com.cn/finalpage/2017-03-23/1203187978.PDF,2920,SHZB,01010501||010113||01030101,9900002221
601318,中国平安,1203187965,2016年年度报告摘要,2017-03-23,1490198400000,https://static.cninfo.com.cn/finalpage/2017-03-23/1203187965.PDF,543,SHZB,01010501||010113||01030110,9900002221
601318,中国平安,1202048352,2015年年度报告摘要,2016-03-16,1458057600000,https://static.cninfo.com.cn/finalpage/2016-03-16/1202048352.PDF,621,SHZB,01010501||010113||01030110,9900002221
601318,中国平安,1202048336,2015年年度报告,2016-03-16,1458057600000,https://static.cninfo.com.cn/finalpage/2016-03-16/1202048336.PDF,3036,SHZB,01010501||010113||01030101,9900002221
600900,长江电力,1225262042,长江电力2025年年度报告摘要,2026-04-30,1777478400000,https://static.cninfo.com.cn/finalpage/2026-04-30/1225262042.PDF,229,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1225262036,长江电力2025年年度报告,2026-04-30,1777478400000,https://static.cninfo.com.cn/finalpage/2026-04-30/1225262036.PDF,1499,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1223421172,长江电力2024年年度报告,2025-04-30,1745942400000,https://static.cninfo.com.cn/finalpage/2025-04-30/1223421172.PDF,1672,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1223421164,长江电力2024年年度报告摘要,2025-04-30,1745942400000,https://static.cninfo.com.cn/finalpage/2025-04-30/1223421164.PDF,234,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1219922589,长江电力2023年年度报告摘要,2024-04-30,1714406400000,https://static.cninfo.com.cn/finalpage/2024-04-30/1219922589.PDF,761,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1219922588,长江电力2023年年度报告,2024-04-30,1714406400000,https://static.cninfo.com.cn/finalpage/2024-04-30/1219922588.PDF,1759,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1216664110,长江电力2022年年度报告,2023-04-28,1682611200000,https://static.cninfo.com.cn/finalpage/2023-04-28/1216664110.PDF,4488,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1216664107,长江电力2022年年度报告摘要,2023-04-28,1682611200000,https://static.cninfo.com.cn/finalpage/2023-04-28/1216664107.PDF,748,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1216615172,长江电力关于《2022年年度报告》《2023年第一季度报告》披露日期变更的公告,2023-04-27,1682524800000,https://static.cninfo.com.cn/finalpage/2023-04-27/1216615172.PDF,258,SHZB,01010503||010113||010301,gssh0600900
600900,长江电力,1213270599,长江电力2021年年度报告,2022-04-30,1651248000000,https://static.cninfo.com.cn/finalpage/2022-04-30/1213270599.PDF,4026,SHZB,01010503||010113||010301,gssh0600900
